RSE (Dive),https://youtu.be/Z9vqvfxoRBg
ORAS,https://youtu.be/cQsB5cfzf_4
SM,https://youtu.be/jLW82be9YQI
RSE,https://www.youtube.com/watch?v=Pyyis1fasd0
XY,https://youtu.be/_QW5SHwJpzM
bye,bye
DPPt,https://youtu.be/QMs4gtCaeuU
BDSP,https://youtu.be/HfI2AmIWU5Y
GSC,https://www.youtube.com/watch?v=aP0m-PJozWo
FRLG,https://youtu.be/j7cnKLVn-wk
HGSS,https://youtu.be/vLxooplaxcs
Let's Go,https://youtu.be/eSnLuPBqKrI
ORAS (Dive),https://youtu.be/HZJxV7ifKoc
RBY,https://www.youtube.com/watch?v=oUTW3hJx52U
BW,https://youtu.be/yMmwi8rDIF0
bye,bye
